AAJM01,Bacillus thuringiensis serovar israelensis ATCC 35646,Bacillus thuringiensis
AAJX02,Escherichia coli B171,Escherichia coli
AANJ01,Campylobacter jejuni subsp. jejuni CF93-6,Campylobacter jejuni
AANK01,Campylobacter jejuni subsp. jejuni 260.94,Campylobacter jejuni
AANQ01,Campylobacter jejuni subsp. jejuni HB93-13,Campylobacter jejuni
AANT02,Campylobacter jejuni subsp. jejuni 84-25,Campylobacter jejuni
AAOK01 ,Synechococcus sp. WH 7805,NA
AASY01,Campylobacter jejuni subsp. jejuni CG8486,Campylobacter jejuni
AAZW01 ,Vibrionales bacterium SWAT-3,NA
ABBK01,Burkholderia pseudomallei 91,Burkholderia pseudomallei
ABBL01,Burkholderia pseudomallei 9,Burkholderia pseudomallei
ABEW01,Salmonella enterica subsp. enterica serovar Newport str. SL317,Salmonella enterica
ABHK02,Escherichia coli O157:H7 str. EC4206,Escherichia coli
ABHL02,Escherichia coli O157:H7 str. EC4045,Escherichia coli
ABHM02,Escherichia coli O157:H7 str. EC4042,Escherichia coli
ABHO01,Escherichia coli O157:H7 str. EC4196,Escherichia coli
ABHP01,Escherichia coli O157:H7 str. EC4113,Escherichia coli
ABHQ01,Escherichia coli O157:H7 str. EC4076,Escherichia coli
ABHR01,Escherichia coli O157:H7 str. EC4401,Escherichia coli
ABHS01,Escherichia coli O157:H7 str. EC4486,Escherichia coli
ABHT01,Escherichia coli O157:H7 str. EC4501,Escherichia coli
ABHU01,Escherichia coli O157:H7 str. EC869,Escherichia coli
ABHW01,Escherichia coli O157:H7 str. EC508,Escherichia coli
ABJT01,Escherichia coli O157:H7 str. EC4024,Escherichia coli
ABKD01,Campylobacter jejuni subsp. jejuni BH-01-0142,Campylobacter jejuni
ABVY01,Pectobacterium carotovorum subsp. carotovorum WPP14,Pectobacterium carotovorum
ACXE01,Escherichia coli B088,Escherichia coli
ACXF01,Escherichia coli B185,Escherichia coli
ACXG01,Escherichia coli B354,Escherichia coli
ACXN01,Escherichia coli O157:H7 str. FRIK966,Escherichia coli
ACXO01,Escherichia coli O157:H7 str. FRIK2000,Escherichia coli
ADHK01,Campylobacter jejuni subsp. jejuni DFVF1099,Campylobacter jejuni
ADHL01,Campylobacter jejuni subsp. jejuni 305,Campylobacter jejuni
ADHM01,Campylobacter jejuni subsp. jejuni 327,Campylobacter jejuni
ADMX01,Escherichia coli O157:H7 str. EC4009,Escherichia coli
ADUX01,Escherichia coli O157:H7 str. EC4192,Escherichia coli
ADUY01,Escherichia coli O157:H7 str. EC4084,Escherichia coli
ADUZ01,Escherichia coli O157:H7 str. EC4127,Escherichia coli
